id,country_id,total_cases,today_cases,deaths,today_deaths,recovered,today_recovered,active,critical,cases_per_million,deaths_per_million,tests,tests_per_million,active_per_million,recovered_per_million,critical_per_million
1,1,234174,0,7996,0,211080,0,15098,0,5746.0,196.0,1390730,34125.0,370.46,5179.32,0.0
2,2,334863,0,3605,0,330233,0,1025,0,116825.0,1258.0,1941032,677173.0,357.59,115209.32,0.0
3,3,272010,0,6881,0,183061,0,82068,0,5998.0,152.0,230960,5093.0,1809.65,4036.61,0.0
4,4,48015,0,165,0,0,0,47850,0,619844.0,2130.0,249838,3225256.0,617714.26,0.0,0.0
5,5,107327,0,1937,0,103419,0,1971,0,3064.0,55.0,1499795,42818.0,56.27,2952.52,0.0
6,6,3904,0,12,0,0,0,3892,0,256336.0,788.0,51382,3373736.0,255548.26,0.0,0.0
7,7,9106,0,146,0,8954,0,6,0,91509.0,1467.0,18901,189943.0,60.3,89981.81,0.0
8,8,10128845,0,130841,0,9997258,0,746,0,220143.0,2844.0,35716069,776264.0,16.21,217283.35,0.0
9,9,451831,0,8777,0,435162,0,7892,0,152031.0,2953.0,3242901,1091164.0,2655.48,146422.27,0.0
10,10,44224,0,292,0,42438,0,1494,2,410969.0,2714.0,177885,1653068.0,13883.6,394372.22,18.59
11,11,11853144,0,24414,0,11820014,0,8716,3,454687.0,937.0,81916639,3142326.0,334.35,453416.25,0.12
12,12,6081287,0,22542,0,6054934,0,3811,0,670727.0,2486.0,211273524,23302116.0,420.33,667820.41,0.0
13,13,835234,0,10400,0,824089,0,745,0,81089.0,1010.0,7748050,752223.0,72.33,80007.05,0.0
14,14,38084,0,844,0,36366,0,874,1,95087.0,2107.0,257839,643767.0,2182.18,90797.87,2.5
15,15,729549,0,1574,0,727915,0,60,0,408944.0,882.0,10948549,6137138.0,33.63,408027.99,0.0
16,16,2049377,0,29493,0,0,0,2019884,0,12207.0,176.0,15254399,90862.0,12031.31,0.0,0.0
17,17,110578,0,648,0,108647,0,1283,0,383921.0,2250.0,814159,2826715.0,4454.51,377216.4,0.0
18,18,994037,0,7118,0,985592,0,1327,0,105381.0,755.0,13646641,1446722.0,140.68,104485.62,0.0
19,19,4861695,0,34376,0,4826798,50,521,0,416659.0,2946.0,37454182,3209915.0,44.65,413668.41,0.0
20,20,71409,0,688,0,0,0,70721,0,173243.0,1669.0,576016,1397453.0,171573.79,0.0,0.0
21,21,28036,0,163,0,27847,0,26,0,2193.0,13.0,604310,47268.0,2.03,2178.15,0.0
22,22,18860,0,165,0,18685,0,10,0,304493.0,2664.0,1029558,16622128.0,161.45,301667.77,0.0
23,23,62697,0,21,0,61564,0,1112,0,79571.0,27.0,2303734,2923739.0,1411.27,78132.75,0.0
24,24,1212131,0,22407,0,1177145,0,12579,220,101073.0,1868.0,2710261,225993.0,1048.89,98155.49,18.34
25,25,403615,0,16388,0,379084,0,8143,0,124215.0,5044.0,1884721,580036.0,2506.07,116665.75,0.0
26,26,330638,0,2801,0,327049,0,788,1,135443.0,1147.0,2026898,830300.0,322.8,133972.67,0.41
27,27,38743918,0,711380,0,36249161,0,1783377,0,179908.0,3303.0,63776166,296146.0,8281.16,168323.92,0.0
28,28,7392,0,64,0,0,0,7328,0,241600.0,2092.0,107339,3508269.0,239508.43,0.0,0.0
29,29,343719,0,225,0,243601,0,99893,3,771655.0,505.0,717784,1611437.0,224261.45,546888.29,6.74
30,30,1339851,0,38748,0,1292944,0,8159,22,195753.0,5661.0,11671043,1705147.0,1192.04,188899.95,3.21
31,31,22114,0,400,0,21596,0,118,0,1001.0,18.0,248995,11265.0,5.34,977.07,0.0
32,32,54721,0,38,0,53569,0,1114,0,4334.0,3.0,345742,27386.0,88.24,4243.14,0.0
33,33,64477,0,417,0,63755,0,305,23,113580.0,735.0,401622,707482.0,537.28,112308.39,40.52
34,34,139103,0,3056,0,136044,0,3,0,8102.0,178.0,3091420,180062.0,0.17,7923.98,0.0
35,35,125379,0,1974,0,123280,0,125,0,4492.0,71.0,1751774,62762.0,4.48,4416.81,0.0
36,36,4946090,0,59034,0,4881312,350,5744,99,128843.0,1538.0,66572774,1734189.0,149.63,127155.85,2.58
37,37,11682,0,38,0,10476,0,1168,0,438398.0,1426.0,30126,1130559.0,43832.33,393139.94,0.0
38,38,31472,0,37,0,8553,0,22882,1,467797.0,550.0,222773,3311280.0,340116.24,127131.11,14.86
39,39,15440,0,113,0,15200,0,127,2,3078.0,23.0,81294,16205.0,25.32,3029.89,0.4
40,40,7701,0,194,0,4874,0,2633,0,442.0,11.0,191341,10988.0,151.2,279.9,0.0
41,41,101717,0,228,0,101321,0,168,0,576421.0,1292.0,1252808,7099551.0,952.04,574177.02,0.0
42,42,5384853,0,64497,0,5252450,0,67906,7,279730.0,3350.0,50382097,2617225.0,3527.55,272851.78,0.36
43,43,503302,0,5272,0,379053,0,118977,0,347.0,4.0,160000000,110461.0,82.14,261.69,0.0
44,44,6400173,0,143200,0,6212152,0,44821,342,124244.0,2780.0,36951507,717327.0,870.1,120594.43,6.64
